OBJECTID,StopID,Direction,Routes_ser
1,E00175,Inbound,"54, 88, 91"
2,E00180,Inbound,54
3,E00270,Outbound,"54, 88, 91"
4,E00420,Outbound,93
5,E00430,Outbound,93
6,E00500,Both,"64, 93"
7,E00750,Outbound,59
8,E00910,Both,"28X, 71B, 71D"
9,E00920,Both,"28X, 71B, 71D"
10,E00950,Both,"28X, 71D"
11,E00970,Both,"54, 71A, 71B, 71C, 71D, 75, 93, P3"
12,E00975,Both,"54, 71A, 71B, 71C, 71D, 75, 93, P3"
13,E00980,Both,"28X, 71B, 71D"
14,E01000,Both,"28X, 54, 58, 61A, 61B, 61C, 61D, 67, 69, 71A, 71B, 71C, 71D, 75, 93, P3"
15,E01010,Both,"54, 71A, 71B, 71C, 71D, 75, 93, P3"
16,E01030,Outbound,"71A, 71B, 71C, 71D"
17,E01040,Both,"54, 61A, 61B, 61C, 61D, 67, 69, 71A, 71B, 71C, 71D, 75, 81, 83"
18,E01050,Both,"28X, 54, 58, 61A, 61B, 61C, 61D, 67, 69, 71A, 71B, 71C, 71D, 75, 81, 83, 93, P3"
19,E01090,Both,"28X, 64, 71B, 71D"
20,E01130,Both,"54, 71A, 71B, 71C, 71D, 75, 93, P3"
21,E01140,Inbound,"71B, 71D, 75, P3"
22,E01150,Outbound,"58, 71B, 71D, 75, P3"
23,E01180,Inbound,"58, 81, 83, 93, P3"
24,E01190,Inbound,"61A, 61B, 61C, 61D, 67, 69, 71A, 71B, 71C, 71D"
25,E01210,Both,"54, 71A, 71B, 71C, 71D, 75, 93, P3"
26,E01225,Both,"54, 71A, 71B, 71C, 71D, 75, 93, P3"
27,E01230,Inbound,P10
28,E01260,Both,"28X, 64, 71D"
29,E01310,Inbound,"61A, 61B, 61C, 61D, 67, 69, 71A, 71B, 71C, 71D"
30,E01330,Inbound,"61A, 61B, 61C, 61D, 65, 67, 69, 71A, 71B, 71C, 71D"
31,E01335,Both,"54, 71A, 71B, 71C, 71D, 75, 93, P3"
32,E01350,Both,"28X, 64, 71B, 71D"
33,E01360,Both,"54, 71A, 71B, 71C, 71D, 75, 93, P3"
34,E01370,Both,"28X, 71D, 88"
35,E01380,Outbound,71D
36,E01400,Both,"54, 71A, 71B, 71C, 71D, 75"
37,E01410,Inbound,"71B, 71D"
38,E01420,Outbound,"58, 71B, 71D"
39,E01440,Outbound,"71A, 71B, 71C, 71D"
40,E01450,Inbound,"61A, 61B, 61C, 61D, 67, 69, 71A, 71B, 71C, 71D"
41,E01460,Both,"28X, 71B, 71D"
42,E01470,Both,"28X, 71B, 71D"
43,E01480,Inbound,"71B, 71D"
44,E01500,Outbound,"58, 71B, 71D"
45,E01540,Inbound,"61A, 61B, 61C, 61D, 67, 69, 71A, 71B, 71C, 71D"
46,E01550,Both,"93, P3"
47,E01560,Both,"54, 71A, 71B, 71C, 71D, 75, P3"
48,E01570,Both,"54, 71A, 71B, 71C, 71D, 75"
49,E01640,Outbound,"71A, 71B, 71C, 71D"
50,E01650,Both,"28X, 71D"
51,E01660,Both,"28X, 64, 71D"
52,E01700,Inbound,"61A, 61B, 61C, 61D, 67, 69, 71A, 71B, 71C, 71D"
53,E01710,Both,"28X, 54, 58, 61A, 61B, 61C, 61D, 67, 69, 71A, 71B, 71C, 71D, 75, 93, P3"
54,E01720,Both,"54, 71A, 71B, 71C, 71D, 75, 93, P3"
55,E01730,Both,"28X, 54, 58, 61A, 61B, 61C, 61D, 67, 69, 71A, 71B, 71C, 71D, 75, 81, 83, 93, P3"
56,E01760,Both,"28X, 71D, 88"
57,E01810,Inbound,"61A, 61B, 61C, 61D, 65, 67, 69, 71A, 71B, 71C, 71D"
58,E01820,Both,"28X, 71B, 71D"
59,E01840,Inbound,"61A, 61B, 61C, 61D, 67, 69, 71A, 71B, 71C, 71D"
60,E01860,Both,"28X, 71B, 71D"
61,E01870,Both,"28X, 54, 61A, 61B, 61C, 61D, 67, 69, 71A, 71B, 71C, 71D, 75"
62,E01890,Both,"28X, 71D"
63,E01900,Both,"28X, 71B, 71D"
64,E01910,Both,"54, 71A, 71B, 71C, 71D, 75"
65,E01920,Outbound,"58, 71B, 71D"
66,E01930,Both,"28X, 64, 71B, 71D"
67,E01940,Both,"28X, 54, 61A, 61B, 61C, 61D, 67, 69, 71A, 71B, 71C, 71D, 75, 81, 83, P3"
68,E01960,Inbound,"61A, 61B, 61C, 61D, 67, 69, 71A, 71B, 71C, 71D"
69,E01980,Both,"28X, 64, 71D"
70,E01990,Both,"28X, 64, 71B, 71D"
71,E02010,Both,"54, 61A, 61B, 61C, 61D, 67, 69, 71A, 71B, 71C, 71D, 75, 81, 83"
72,E02030,Both,"54, 61A, 61B, 61C, 61D, 67, 69, 71A, 71B, 71C, 71D, 75, 81, 83"
73,E02040,Inbound,"61A, 61B, 61C, 61D, 67, 69, 71A, 71B, 71C, 71D"
74,E02050,Both,"54, 71A, 71B, 71C, 71D, 75, 93, P3"
75,E02080,Inbound,"61A, 61B, 61C, 61D, 67, 69, 71A, 71B, 71C, 71D"
76,E02090,Both,"28X, 71B, 71D"
77,E02110,Inbound,"69, P69"
78,E02245,Inbound,"59, 61A, 61B"
79,E02430,Inbound,"69, P69"
80,E02770,Both,"79, P17"
81,E02790,Both,"79, P17"
82,E02810,Both,"79, P17"
83,E02850,Both,"79, P17"
84,E02870,Both,"79, P17"
85,E02890,Inbound,83
86,E02900,Inbound,83
87,E02910,Inbound,83
88,E02925,Outbound,89
89,E02929,Outbound,89
90,E02930,Outbound,89
91,E02931,Outbound,89
92,E02940,Inbound,"69, P69"
93,E02980,Outbound,"69, P69"
94,E02990,Inbound,"69, P69"
95,E03000,Outbound,"69, P69"
96,E03010,Inbound,"69, P69"
97,E03020,Outbound,"69, P69"
98,E03030,Inbound,"59, 69, P69"
99,E03080,Outbound,"69, P69"
100,E03100,Outbound,"69, P69"
101,E03120,Outbound,"69, P69"
102,E03140,Outbound,"69, P69"
103,E03150,Outbound,"69, P69"
104,E03200,Outbound,"69, P69"
105,E03240,Outbound,"69, P69"
106,E03260,Outbound,"69, P69"
107,E03270,Inbound,"69, P69"
108,E03273,Inbound,"68, P68"
109,E03277,Both,77
110,E03285,Both,77
111,E03290,Inbound,58
112,E03320,Inbound,P78
113,E03330,Outbound,P78
114,E03450,Outbound,P78
115,E03550,Outbound,P78
116,E03560,Inbound,P78
117,E03570,Outbound,P78
118,E03900,Outbound,83
119,E03910,Inbound,83
120,E03926,Inbound,83
121,E03927,Inbound,83
122,E03930,Outbound,83
123,E03940,Inbound,83
124,E04140,Outbound,"59, 69, P69, P76"
125,E04150,Inbound,"59, 69, P69, P76"
126,E04160,Outbound,"69, P69, P76"
127,E04170,Outbound,"69, P69, P76"
128,E04180,Inbound,"69, P69, P76"
129,E04190,Outbound,"69, P69, P76"
130,E04210,Outbound,"68, 69, P68, P69, P76"
131,E04220,Inbound,"69, P69, P76"
132,E04230,Outbound,"69, P69, P76"
133,E04240,Inbound,"69, P69, P76"
134,E04250,Outbound,"69, P69, P76"
135,E04270,Outbound,"69, P69, P76"
136,E04280,Inbound,"69, P69, P76"
137,E04290,Outbound,"69, P69, P76"
138,E04310,Inbound,"69, P69, P76"
139,E04320,Inbound,"68, 69, P12, P68, P69, P76"
140,E04340,Outbound,"69, P69, P76"
141,E04350,Inbound,"69, P69, P76"
142,E04380,Inbound,"69, P69, P76"
143,E04400,Outbound,"69, P69, P76"
144,E04410,Inbound,"69, P69, P76"
145,E04420,Inbound,"69, P69, P76"
146,E04430,Outbound,"69, P69, P76"
147,E04450,Inbound,"68, 69, P68, P69"
148,E04470,Inbound,"69, P69, P76"
149,E04510,Inbound,89
150,E04520,Outbound,89
151,E04540,Inbound,89
152,E04580,Inbound,89
153,E04635,Both,"71, P71"
154,E04645,Both,"71, P71"
155,E04663,Outbound,69
156,E04665,Outbound,"75, 87"
157,E04666,Inbound,"75, 87"
158,E04667,Outbound,"75, 87"
159,E04670,Inbound,"75, 87"
160,E04680,Inbound,"75, 87"
161,E04690,Outbound,"75, 87"
162,E04700,Both,"59, 61A"
163,E04740,Inbound,59
164,E04810,Outbound,77
165,E04820,Outbound,77
166,E04830,Inbound,77
167,E04840,Inbound,77
168,E04850,Inbound,77
169,E04860,Outbound,77
170,E04870,Inbound,77
171,E04880,Outbound,77
172,E04890,Inbound,77
173,E04900,Outbound,77
174,E04910,Inbound,77
175,E04920,Outbound,77
176,E04930,Inbound,77
177,E04940,Outbound,77
178,E05000,Outbound,77
179,E05180,Both,"65, 93"
180,E05190,Both,"65, 93"
181,E05200,Both,"65, 93"
182,E05210,Both,"65, 93"
183,E05220,Both,"65, 93"
184,E05230,Both,65
185,E05240,Both,65
186,E05250,Both,"65, 93"
187,E05260,Both,"65, 93"
188,E05270,Both,"65, 93"
189,E05280,Both,"65, 93"
190,E05295,Inbound,67
191,E05297,Outbound,67
192,E05300,Inbound,77
193,E05340,Outbound,67
194,E05380,Inbound,77
195,E05390,Inbound,67
196,E05460,Outbound,77
197,E05470,Inbound,67
198,E05510,Inbound,"82, 86"
199,E05515,Inbound,"82, 86"
200,E05517,Inbound,"82, 86"
201,E05520,Both,"74, 82, 86, 89"
202,E05670,Inbound,81
203,E05700,Inbound,81
204,E05710,Outbound,81
205,E05910,Both,65
206,E05920,Inbound,"52L, 53L"
207,E05940,Both,65
208,E05960,Outbound,"52L, 53L"
209,E05970,Inbound,"52L, 53L"
210,E05980,Outbound,"52L, 53L"
211,E05990,Outbound,"52L, 53L"
212,E06010,Inbound,"52L, 53L"
213,E06030,Both,65
214,E06035,Both,65
215,E06040,Both,65
216,E06050,Both,65
217,E06140,Outbound,"52L, 53L"
218,E06160,Outbound,"52L, 53L"
219,E06180,Outbound,"52L, 53L"
220,E06200,Both,"65, 74"
221,E06215,Outbound,"52L, 53L"
222,E06230,Both,65
223,E06250,Inbound,"52L, 53L"
224,E06280,Both,"65, 74"
225,E06315,Inbound,"52L, 53L"
226,E06370,Inbound,"67, 69"
227,E06390,Inbound,"67, 69"
228,E06410,Outbound,"67, 69"
229,E06420,Inbound,"67, 69"
230,E06430,Outbound,"67, 69"
231,E06440,Inbound,"67, 69"
232,E06450,Outbound,"67, 69"
233,E06460,Inbound,"67, 69"
234,E06470,Outbound,"67, 69"
235,E06490,Outbound,"67, 69"
236,E06580,Both,"59, 61A"
237,E06585,Outbound,59
238,E06650,Outbound,58
239,E06660,Outbound,58
240,E06917,Inbound,81
241,E06940,Inbound,81
242,E06950,Outbound,81
243,E06970,Inbound,81
244,E07000,Inbound,81
245,E07030,Outbound,81
246,E07050,Outbound,81
247,E07170,Inbound,"59, 68, P68"
248,E07190,Inbound,"68, P68"
249,E07340,Outbound,P16
250,E07350,Outbound,P16
251,E07500,Inbound,P16
252,E07550,Inbound,77
253,E07600,Inbound,77
254,E07630,Inbound,77
255,E07660,Inbound,77
256,E07670,Outbound,77
257,E07770,Outbound,77
258,E07790,Outbound,77
259,E07800,Outbound,77
260,E07870,Inbound,58
261,E07880,Inbound,58
262,E07890,Outbound,58
263,E07910,Outbound,58
264,E07915,Inbound,58
265,E07920,Outbound,58
266,E08045,Outbound,89
267,E08046,Inbound,89
268,E08050,Outbound,89
269,E08051,Inbound,89
270,E08056,Inbound,89
271,E08070,Inbound,65
272,E08090,Both,"58, 65, 93"
273,E08120,Both,"58, 65, 93"
274,E08130,Both,"65, 93"
275,E08140,Both,"58, 65, 93"
276,E08150,Both,"58, 65, 93"
277,E08160,Both,"28X, 65, 67, 69"
278,E08170,Inbound,65
279,E08180,Both,"65, 93"
280,E08185,Both,"58, 65, 93"
281,E08190,Both,"58, 65, 93"
282,E08210,Inbound,65
283,E08240,Both,"28X, 65"
284,E08260,Inbound,65
285,E08330,Inbound,65
286,E08350,Both,"58, 65, 93"
287,E08360,Both,"58, 65, 93"
288,E08450,Both,"67, 77"
289,E08510,Inbound,61B
290,E08550,Inbound,61B
291,E08560,Outbound,61B
292,E08610,Both,"59, 61A"
293,E08650,Inbound,61B
294,E08690,Outbound,"61B, 71, P71"
295,E08720,Inbound,"59, 61B"
296,E08730,Outbound,61B
297,E08740,Outbound,"71, P71"
298,E08741,Inbound,"71, P71"
299,E08840,Inbound,"61B, 71, P71"
300,E08880,Inbound,61B
301,E08885,Outbound,61B
302,E08890,Inbound,61B
303,E08900,Outbound,61B
304,E08910,Inbound,"61B, 71, P71"
305,E08920,Outbound,61B
306,E08970,Inbound,61B
307,E08980,Outbound,61B
308,E09010,Outbound,"59, 68, 69, P68, P69"
309,E09100,Outbound,"61B, 71, P71"
310,E09110,Inbound,"61B, 71, P71"
311,E09120,Outbound,"59, 68, P68"
312,E09180,Outbound,"59, 68, 69, P68, P69"
313,E09290,Both,"59, 61A"
314,E09320,Outbound,61B
315,E09330,Inbound,"61B, 71, P71"
316,E09390,Outbound,"61B, 71, P71"
317,E09400,Outbound,61B
318,E09540,Both,"59, 61A, 61B, 68, P68"
319,E09550,Both,"59, 61A, 61B, 68, P68"
320,E09580,Outbound,54
321,E09590,Inbound,54
322,E09600,Outbound,54
323,E09620,Inbound,54
324,E09650,Outbound,54
325,E09730,Inbound,"68, P68"
326,E09810,Inbound,"68, P68"
327,E09820,Inbound,"68, P68"
328,E09830,Outbound,"68, P68"
329,E09840,Outbound,"68, P68"
330,E09860,Outbound,"68, P68"
331,E09870,Inbound,"68, P68"
332,E09880,Outbound,"68, P68"
333,E09900,Outbound,"68, P68"
334,E09920,Inbound,"68, P68"
335,E09930,Inbound,"68, P68"
336,E10040,Inbound,"68, P68"
337,E10050,Inbound,"68, P68"
338,E10060,Inbound,"68, P68"
339,E10070,Outbound,"68, P68"
340,E10080,Outbound,"68, P68"
341,E10100,Outbound,"68, P68"
342,E10130,Inbound,"68, P68"
343,E10140,Outbound,"68, P68"
344,E10150,Inbound,"68, P68"
345,E10160,Outbound,"68, P68"
346,E10180,Outbound,"68, P68"
347,E10200,Outbound,"68, P68"
348,E10210,Outbound,"68, P68"
349,E10220,Inbound,"68, P68"
350,E10270,Inbound,"68, P68"
351,E10280,Outbound,"68, P68"
352,E10287,Outbound,"68, P68"
353,E10290,Inbound,"68, P68"
354,E10300,Inbound,"68, P68"
355,E10330,Outbound,"68, P68"
356,E10340,Inbound,"68, P68"
357,E10360,Inbound,"68, P68"
358,E10390,Outbound,"68, P68"
359,E10400,Inbound,"68, P68"
360,E10410,Outbound,"68, P68"
361,E10420,Inbound,"68, P68"
362,E10430,Inbound,"68, P68"
363,E10440,Inbound,"68, P68"
364,E10450,Outbound,"68, P68"
365,E10475,Inbound,"68, P68"
366,E10480,Outbound,"68, P68"
367,E10490,Outbound,"68, P68"
368,E10550,Inbound,"69, P69"
369,E10560,Inbound,"69, P69"
370,E10610,Inbound,"69, P69"
371,E10620,Inbound,"69, P69"
372,E10630,Inbound,"69, P69"
373,E10650,Inbound,"69, P69"
374,E10670,Outbound,"69, P69"
375,E10680,Outbound,"69, P69"
376,E10700,Outbound,"69, P69"
377,E10705,Outbound,"69, P69"
378,E10710,Outbound,"69, P69"
379,E10720,Outbound,"69, P69"
380,E10740,Outbound,"69, P69"
381,E10900,Outbound,"52L, 53L, 61C, 61D, 64"
382,E10920,Inbound,"52L, 53L, 57, 61C, 61D, 64"
383,E10950,Inbound,"52L, 53L, 61C, 61D, 64"
384,E10970,Outbound,"52L, 53L, 57, 61C, 61D, 64"
385,E11140,Both,"71A, 71B"
386,E11145,Outbound,71B
387,E11150,Inbound,71B
388,E11160,Inbound,71A
389,E11170,Outbound,71A
390,E11180,Inbound,71A
391,E11190,Outbound,71A
392,E11310,Outbound,71B
393,E11540,Inbound,91
394,E11550,Outbound,91
395,E11560,Inbound,91
396,E11570,Outbound,91
397,E11580,Inbound,91
398,E11590,Outbound,91
399,E11610,Outbound,91
400,E11620,Inbound,91
401,E11630,Outbound,91
402,E11640,Outbound,"64, 91"
403,E11660,Inbound,"91, 93"
404,E11670,Inbound,"91, 93"
405,E11680,Outbound,"91, 93"
406,E11690,Inbound,"91, 93"
407,E11700,Outbound,"91, 93"
408,E11710,Inbound,"91, 93"
409,E11720,Outbound,"91, 93"
410,E11730,Inbound,"91, 93"
411,E11740,Inbound,"91, 93"
412,E11750,Outbound,"91, 93"
413,E11760,Inbound,"91, 93"
414,E11770,Outbound,"87, 91, 93"
415,E11780,Inbound,"87, 91, 93"
416,E11785,Outbound,"87, 91, 93"
417,E11790,Inbound,"87, 91, 93"
418,E11800,Outbound,"87, 91, 93"
419,E11810,Inbound,"87, 91, 93"
420,E11820,Outbound,"87, 91, 93"
421,E11830,Both,"87, 91"
422,E11840,Outbound,91
423,E11850,Both,"87, 91"
424,E11860,Both,"87, 91"
425,E11870,Both,"87, 91"
426,E11922,Both,"87, 91"
427,E12000,Inbound,"91, 93"
428,E12030,Outbound,"91, 93"
429,E12040,Inbound,"87, 91, 93"
430,E12050,Outbound,"87, 91, 93"
431,E12080,Inbound,91
432,E12090,Outbound,91
433,E12100,Both,"87, 91"
434,E12230,Outbound,"91, 93"
435,E12235,Inbound,"87, 91, 93"
436,E12240,Outbound,"91, 93"
437,E12280,Both,"87, 91"
438,E12340,Outbound,"91, 93"
439,E12350,Both,"87, 91"
440,E12410,Outbound,79
441,E12430,Both,"79, P17"
442,E12486,Outbound,83
443,E12515,Inbound,77
444,E12550,Outbound,77
445,E12570,Inbound,77
446,E12580,Outbound,77
447,E12600,Inbound,77
448,E12650,Inbound,77
449,E12660,Inbound,77
450,E12670,Outbound,77
451,E12730,Inbound,77
452,E12780,Inbound,77
453,E12790,Outbound,77
454,E12840,Inbound,77
455,E12860,Outbound,77
456,E12880,Outbound,77
457,E12890,Outbound,77
458,E12920,Outbound,77
459,E13040,Outbound,"68, P68"
460,E13170,Inbound,"64, 71A, 71C, 82, 86"
461,E13180,Outbound,"71A, 71C, 82"
462,E13190,Outbound,82
463,E13210,Inbound,"81, 82, 83"
464,E13230,Outbound,82
465,E13250,Inbound,82
466,E13260,Outbound,82
467,E13270,Inbound,82
468,E13310,Inbound,82
469,E13330,Outbound,82
470,E13340,Inbound,82
471,E13350,Inbound,"82, 83"
472,E13380,Inbound,"71A, 71C, 82"
473,E13385,Outbound,"81, 82, 83"
474,E13390,Inbound,"81, 82"
475,E13420,Inbound,82
476,E13430,Inbound,"81, 82"
477,E13440,Outbound,"81, 82"
478,E13450,Inbound,"81, 82"
479,E13460,Inbound,82
480,E13470,Inbound,82
481,E13480,Inbound,"64, 71A, 71C, 82, 86"
482,E13490,Outbound,"64, 71A, 71C, 82, 86"
483,E13500,Inbound,"81, 82, 83"
484,E13510,Outbound,"81, 82, 83"
485,E13520,Inbound,82
486,E13550,Inbound,82
487,E13570,Inbound,82
488,E13580,Outbound,82
489,E13600,Both,"54, 71A, 71C, 82"
490,E13610,Both,"54, 71A, 71C, 82"
491,E13620,Outbound,"82, 83"
492,E13630,Inbound,"71A, 71C, 82"
493,E13640,Inbound,"71A, 71C, 82"
494,E13650,Outbound,"71A, 71C, 82"
495,E13660,Outbound,82
496,E13690,Inbound,"82, 86"
497,E13720,Both,"54, 71A, 71C, 82"
498,E13725,Inbound,"82, 83"
499,E13730,Outbound,82
500,E13745,Inbound,"81, 82, 83"
501,E13770,Inbound,"82, 86"
502,E13780,Outbound,"71A, 71C, 82"
503,E13790,Inbound,82
504,E13795,Outbound,"64, 71A, 71C, 82, 86"
505,E13800,Outbound,82
506,E13870,Inbound,82
507,E13880,Inbound,82
508,E13900,Outbound,82
509,E13910,Outbound,"71A, 71C, 82"
510,E13940,Outbound,"81, 82"
511,E13945,Inbound,"82, 86"
512,E13950,Outbound,82
513,E13970,Outbound,82
514,E14000,Outbound,"71A, 71C, 82"
515,E14010,Inbound,82
516,E14020,Both,"54, 71A, 71C, 82"
517,E14050,Outbound,"82, 86"
518,E14060,Inbound,"71A, 71C, 82"
519,E14080,Outbound,82
520,E14133,Both,"79, P17"
521,E14134,Both,"79, P17"
522,E14135,Both,"79, P17"
523,E14136,Both,"79, P17"
524,E14170,Outbound,"75, 87"
525,E14190,Outbound,"75, 87"
526,E14210,Outbound,"75, 87"
527,E14250,Outbound,"75, 87"
528,E14290,Outbound,"75, 87"
529,E14300,Outbound,"75, 87"
530,E14330,Outbound,"71, P71"
531,E14350,Outbound,"67, P67"
532,E14370,Outbound,83
533,E14400,Outbound,83
534,E14420,Inbound,61A
535,E14430,Inbound,61A
536,E14440,Inbound,61A
537,E14450,Inbound,61A
538,E14480,Inbound,61A
539,E14510,Inbound,61A
540,E15030,Outbound,89
541,E15050,Outbound,89
542,E15060,Inbound,89
543,E15070,Inbound,89
544,E15080,Outbound,89
545,E15100,Outbound,89
546,E15110,Both,"71, P71"
547,E15120,Both,"71, P71"
548,E15200,Inbound,77
549,E15440,Inbound,59
550,E15460,Inbound,59
551,E15470,Outbound,59
552,E15480,Both,"59, 61A, 61B"
553,E15490,Inbound,59
554,E15500,Outbound,59
555,E15510,Inbound,59
556,E15520,Outbound,59
557,E15580,Inbound,"58, 93"
558,E15585,Outbound,93
559,E15620,Both,"54, 71A, 71C, 93"
560,E15640,Inbound,77
561,E15650,Both,"54, 71A, 71C, 93"
562,E15660,Both,"54, 71A, 71C, 93"
563,E15665,Both,"77, 93"
564,E15670,Both,"77, 93"
565,E15680,Both,"54, 71A, 71C, 93"
566,E15730,Both,"54, 71A, 71C, 93"
567,E15840,Outbound,81
568,E15925,Inbound,"74, 75, 89"
569,E15950,Outbound,"74, 75, 77, 82, 86, 89"
570,E15960,Outbound,"74, 75, 77, 82, 86, 89, P17"
571,E15970,Outbound,"74, 75, 77, 82, 86, 89"
572,E15980,Inbound,"74, 75, 77, 82, 86, 89"
573,E16010,Inbound,"74, 75, 77, 82, 86, 89"
574,E16015,Both,"28X, 88, P10, P17"
575,E16020,Both,"67, 69, 74"
576,E16030,Both,"67, 69, 74"
577,E16070,Inbound,"67, 69"
578,E16080,Outbound,"67, 69"
579,E16100,Inbound,"67, 69"
580,E16110,Both,"67, 69, 74"
581,E16160,Both,65
582,E16190,Outbound,"81, 83"
583,E16270,Inbound,74
584,E16300,Outbound,74
585,E16470,Inbound,"81, 83"
586,E16500,Outbound,83
587,E16530,Outbound,83
588,E16540,Inbound,83
589,E16560,Outbound,54
590,E16580,Outbound,54
591,E16600,Outbound,54
592,E16620,Outbound,54
593,E17230,Inbound,"59, 68, P68"
594,E17257,Inbound,"P1, P3"
595,E17288,Outbound,"P1, P3"
596,E17289,Both,"68, 71C, 71D, 79, 86, P12, P2, P68, P69, P7, P76"
597,E17290,Both,"68, 69, 71, 71C, 71D, 79, 86, P12, P16, P2, P67, P68, P69, P7, P71, P76, P78"
598,E17291,Inbound,"P1, P3"
599,E17292,Outbound,"P1, P3"
600,E17293,Both,"59, P1, P3, P71"
601,E17294,Inbound,"P10, P12, P16, P67, P69, P7, P76, P78"
602,E17295,Both,"68, 69, 71, 71C, 71D, 79, 86, P12, P16, P67, P68, P69, P7, P71, P76, P78"
603,E17296,Inbound,"P12, P16, P67, P69, P7, P76, P78"
604,E17297,Inbound,"P1, P2, P3"
605,E17298,Outbound,"P1, P2, P3"
606,E17299,Inbound,"P1, P2, P3, P68, P71"
607,E17300,Outbound,"P10, P12, P16, P17, P67, P68, P69, P7, P71, P76, P78"
608,E17301,Outbound,"P1, P2, P3"
609,E17302,Inbound,"P1, P17, P2, P3, P68, P71"
610,E17303,Outbound,"P1, P2, P3"
611,E17304,Inbound,"P1, P17, P2, P3, P68, P71"
612,E17305,Outbound,"P1, P2, P3"
613,E17306,Inbound,"P1, P17, P2, P68, P71"
614,E17307,Outbound,"P1, P2"
615,E17308,Outbound,"P10, P12, P16, P17, P67, P68, P69, P7, P71, P76, P78"
616,E17309,Inbound,"P10, P12, P16, P67, P69, P7, P76, P78"
617,E17310,Outbound,"P10, P12, P16, P17, P67, P68, P69, P7, P71, P76, P78"
618,E17311,Outbound,"P12, P16, P67, P68, P69, P7, P71, P76, P78"
619,E17312,Inbound,"P1, P10, P12, P16, P17, P2, P3, P67, P68, P69, P7, P71, P76, P78"
620,E17313,Outbound,"P1, P10, P12, P16, P17, P2, P3, P67, P68, P69, P7, P71, P76, P78"
621,E17314,Inbound,"P10, P12, P16, P67, P69, P7, P76, P78"
622,E17316,Both,"68, 69, 71, 71C, 71D, 79, 86, P12, P16, P67, P68, P69, P7, P71, P76, P78"
623,E17320,Inbound,79
624,E17325,Outbound,79
625,E17330,Outbound,79
626,E17340,Outbound,79
627,E17350,Inbound,79
628,E17355,Inbound,79
629,E17367,Inbound,89
630,E17368,Outbound,89
631,E17373,Inbound,"75, 89"
632,E17380,Inbound,"75, 89"
633,E17393,Inbound,89
634,E17395,Outbound,89
635,E17405,Inbound,"75, 89"
636,E17422,Outbound,81
637,E17424,Inbound,81
638,E17440,Inbound,"61A, P7"
639,E17460,Inbound,"61A, P7"
640,E17480,Inbound,"61A, P7"
641,E17510,Inbound,"61A, P7"
642,E17540,Inbound,"61A, P7"
643,E17560,Inbound,"61A, P7"
644,E17580,Inbound,"61A, P7"
645,E17590,Inbound,"61A, P7"
646,E17610,Outbound,"61A, P7"
647,E17620,Outbound,"61A, P7"
648,E17640,Outbound,"61A, P7"
649,E17680,Outbound,"61A, P7"
650,E17700,Outbound,"61A, P7"
651,E17720,Inbound,"61A, P7"
652,E17750,Inbound,"71, P71"
653,E17760,Both,"71, P71"
654,E17770,Both,"71, P71"
655,E17780,Both,"71, P71"
656,E17790,Both,"71, P71"
657,E17940,Outbound,"69, P69"
658,E17965,Inbound,"69, P69"
659,E17970,Inbound,"69, P69"
660,E18010,Inbound,"69, P69"
661,E18020,Inbound,"69, P69"
662,E18025,Outbound,"69, P69"
663,E18040,Outbound,"69, P69"
664,E18270,Inbound,87
665,E18280,Inbound,87
666,E18400,Inbound,75
667,E18410,Outbound,75
668,E18420,Inbound,75
669,E18430,Outbound,75
670,E18450,Outbound,75
671,E18470,Outbound,75
672,E18480,Inbound,75
673,E18490,Inbound,75
674,E18500,Outbound,75
675,E18510,Outbound,75
676,E18520,Outbound,75
677,E18530,Inbound,75
678,E18560,Inbound,75
679,E18570,Outbound,75
680,E18580,Inbound,75
681,E18590,Outbound,75
682,E18600,Inbound,75
683,E18610,Outbound,75
684,E18620,Inbound,75
685,E18625,Inbound,75
686,E18627,Outbound,75
687,E18630,Inbound,75
688,E18850,Outbound,"71A, 71B"
689,E18870,Outbound,"71A, 71B"
690,E18905,Outbound,"67, P67"
691,E18907,Inbound,"67, P67"
692,E18965,Both,P12
693,E18970,Both,P12
694,E18980,Both,P12
695,E19010,Both,P12
696,E19130,Both,"28X, 58, 61A, 61B, 61C, 61D, 67, 69"
697,E19150,Inbound,"61A, 61B"
698,E19160,Outbound,"61A, 61B"
699,E19170,Inbound,"61A, 61B, 61C, 61D"
700,E19200,Both,"28X, 58, 61A, 61B, 61C, 61D, 67, 69"
701,E19210,Both,"28X, 58, 61A, 61B, 61C, 61D, 67, 69"
702,E19220,Outbound,"61A, 61B, 61C, 61D, 71A, 71B, 71C, 71D"
703,E19230,Inbound,61A
704,E19260,Outbound,61B
705,E19270,Inbound,"61A, 61B"
706,E19310,Both,"28X, 61A, 61B, 61C, 61D, 67, 69, 81, 83"
707,E19320,Both,"28X, 58, 61A, 61B, 61C, 61D, 67, 69"
708,E19340,Inbound,"61A, 61B"
709,E19350,Outbound,"61A, 61B"
710,E19360,Inbound,"61A, 61B"
711,E19370,Outbound,"61A, 61B"
712,E19400,Both,"28X, 58, 61A, 61B, 61C, 61D, 67, 69"
713,E19420,Inbound,61A
714,E19430,Outbound,61A
715,E19440,Outbound,"61A, 61B, 61C, 61D, 71A, 71B, 71C, 71D"
716,E19460,Both,"28X, 61A, 61B, 61C, 61D, 67, 69, 81, 83"
